1	1.50002
2	0
1	1.02102
2	0.307844
3	-15.7335
4	4.32142
5	3.2787
6	2.99777
7	2.88398
8	2.82991
9	2.80201
10	2.78689
11	2.77845
12	2.77363
13	2.77085
14	2.76922
15	2.76826
16	2.76769
17	2.76735
18	2.76715
19	2.76703
20	2.76696
21	2.76691
22	2.76689
1	-2.10438
2	2.76904
3	2.76685
1	1.30825
2	1.30889
3	1.30892
1	1.30751
2	1.30887
3	1.30892
1	1.50002
2	0
1	1.02102
1	1.50002
2	0
1	1.02102
2	0.307844
3	-15.7335
4	4.32142
5	3.2787
6	2.99777
7	2.88398
8	2.82991
9	2.80201
10	2.78689
11	2.77845
12	2.77363
13	2.77085
14	2.76922
15	2.76826
16	2.76769
17	2.76735
18	2.76715
19	2.76703
20	2.76696
21	2.76691
22	2.76689
1	-2.10438
2	2.76904
3	2.76685
1	1.30825
2	1.30889
3	1.30892
1	1.30751
2	1.30887
3	1.30892
1	1.50002
2	0
1	1.02102
2	0.307844
3	-15.7335
4	4.32142
5	3.2787
6	2.99777
7	2.88398
8	2.82991
9	2.80201
10	2.78689
11	2.77845
12	2.77363
13	2.77085
14	2.76922
15	2.76826
16	2.76769
17	2.76735
18	2.76715
19	2.76703
20	2.76696
21	2.76691
22	2.76689
1	-2.10438
2	2.76904
3	2.76685
1	1.30825
2	1.30889
3	1.30892
1	1.30751
2	1.30887
3	1.30892
1	1.50002
2	0
1	1.02102
2	0.307844
3	-15.7335
4	4.32142
5	3.2787
6	2.99777
7	2.88398
8	2.82991
9	2.80201
10	2.78689
11	2.77845
12	2.77363
13	2.77085
14	2.76922
15	2.76826
16	2.76769
17	2.76735
18	2.76715
19	2.76703
20	2.76696
21	2.76691
22	2.76689
1	-2.10438
2	2.76904
3	2.76685
1	1.30825
2	1.30889
3	1.30892
1	1.30751
2	1.30887
3	1.30892
1	1.50002
2	0
1	1.02102
2	0.307844
3	-15.7335
4	4.32142
5	3.2787
6	2.99777
7	2.88398
8	2.82991
9	2.80201
10	2.78689
11	2.77845
12	2.77363
13	2.77085
14	2.76922
15	2.76826
16	2.76769
17	2.76735
18	2.76715
19	2.76703
20	2.76696
21	2.76691
22	2.76689
1	-2.10438
2	2.76904
3	2.76685
1	1.30825
2	1.30889
3	1.30892
1	1.30751
2	1.30887
3	1.30892
1	1.50002
2	0
1	1.02102
2	0.307844
3	-15.7335
4	4.32142
5	3.2787
6	2.99777
7	2.88398
8	2.82991
9	2.80201
10	2.78689
11	2.77845
12	2.77363
13	2.77085
14	2.76922
15	2.76826
16	2.76769
17	2.76735
18	2.76715
19	2.76703
20	2.76696
21	2.76691
22	2.76689
1	-2.10438
2	2.76904
3	2.76685
1	1.30825
2	1.30889
3	1.30892
1	1.30751
2	1.30887
3	1.30892
